current,cr23x_PJ_2014_01_01_0030,cr23x_PJ_2014_03_19_1400,cr23x_PJ_2014_03_25_1430,cr23x_PJ_2014_05_23_0930,cr23x_PJ_2014_11_12_1100,cr23x_PJ_2014_11_13_1630,cr23x_PJ_2014_12_05_1500,cr23x_PJ_2014_12_06_1030
tdrWC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG
tdrWC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG
tdrWC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG
tdrWC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG
tdrWC_P4_5_AVG,dne,dne,dne,WC_P4_5_AVG,dne,WC_P4_5_AVG,dne,WC_P4_5_AVG
tdrWC_P4_10_AVG,dne,dne,dne,WC_P4_10_AVG,dne,WC_P4_10_AVG,dne,WC_P4_10_AVG
tdrWC_P4_30_AVG,dne,dne,dne,WC_P4_30_AVG,dne,WC_P4_30_AVG,dne,WC_P4_30_AVG
tdrWC_P5_5_AVG,dne,dne,dne,WC_P5_5_AVG,dne,WC_P5_5_AVG,dne,WC_P5_5_AVG
tdrWC_P5_10_AVG,dne,dne,dne,WC_P5_10_AVG,dne,WC_P5_10_AVG,dne,WC_P5_10_AVG
tdrWC_P5_30_AVG,dne,dne,dne,WC_P5_30_AVG,dne,WC_P5_30_AVG,dne,WC_P5_30_AVG
tdrWC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG
tdrWC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG
tdrWC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG
tdrWC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG
tdrWC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG
tdrWC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG
shf_P1_AVG,current,current,current,current,current,current,current,current
shf_P2_AVG,current,current,current,current,current,current,current,current
shf_P3_AVG,current,current,current,current,current,current,current,current
shf_J1_AVG,current,current,current,current,current,current,current,current
shf_J2_AVG,current,current,current,current,current,current,current,current
shf_J3_AVG,current,current,current,current,current,current,current,current
shf_O1_AVG,current,current,current,current,current,current,current,current
shf_O2_AVG,current,current,current,current,current,current,current,current
shf_O3_AVG,current,current,current,current,current,current,current,current
tcav_pinon_1_Avg,dne,dne,dne,dne,dne,dne,dne,dne
tcav_jun_1_Avg,dne,dne,dne,dne,dne,dne,dne,dne
sap_P1a_AVG,current,current,current,current,current,current,current,current
sap_P1b_AVG,current,current,current,current,current,current,current,current
sap_P2a_AVG,current,current,current,current,current,current,current,current
sap_P2b_AVG,current,current,current,current,current,current,current,current
sap_P3a_AVG,current,current,current,current,current,current,current,current
sap_P3b_AVG,current,current,current,current,current,current,current,current
sap_P4a_AVG,current,current,current,current,current,current,current,current
sap_P4b_AVG,current,current,current,current,current,current,current,current
sap_P5a_AVG,current,current,current,current,current,current,current,current
sap_P5b_AVG,current,current,current,current,current,current,current,current
sap_J1a_AVG,current,current,current,current,current,current,current,current
sap_J1b_AVG,current,current,current,current,current,current,current,current
sap_J2a_AVG,current,current,current,current,current,current,current,current
sap_J2b_AVG,current,current,current,current,current,current,current,current
sap_J3a_AVG,current,current,current,current,current,current,current,current
sap_J3b_AVG,current,current,current,current,current,current,current,current
sap_J4a_AVG,current,current,current,current,current,current,current,current
sap_J4b_AVG,current,current,current,current,current,current,current,current
sap_J5a_AVG,current,current,current,current,current,current,current,current
sap_J5b_AVG,current,current,current,current,current,current,current,current
SCO2_P15_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_P110_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_P120_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_P140_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_P25_AVG,current,current,current,current,current,current,current,current
SCO2_P210_AVG,current,current,current,current,current,current,current,current
SCO2_P220_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_P240_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_P35_AVG,dne,current,current,current,current,current,current,current
SCO2_P310_AVG,dne,current,current,current,current,current,current,current
SCO2_P330_AVG,dne,current,current,current,current,current,current,current
SCO2_P25_AVG,current,current,current,current,current,current,current,current
SCO2_P210_AVG,current,current,current,current,current,current,current,current
SCO2_P230_AVG,dne,current,current,current,current,current,current,current
SCO2_P45_AVG,dne,current,current,current,current,current,current,current
SCO2_P410_AVG,dne,current,current,current,current,current,current,current
SCO2_P430_AVG,dne,current,current,current,current,current,current,current
SCO2_P55_AVG,dne,current,current,current,current,current,current,current
SCO2_P510_AVG,dne,current,current,current,current,current,current,current
SCO2_P530_AVG,dne,current,current,current,current,current,current,current
SCO2_J15_AVG,current,current,current,current,current,current,current,current
SCO2_J110_AVG,dne,current,current,current,current,current,current,current
SCO2_J130_AVG,dne,current,current,current,current,current,current,current
SCO2_J25_AVG,current,current,current,current,current,current,current,current
SCO2_J120_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_J150_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_J220_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_J250_AVG,current,dne,dne,dne,dne,dne,dne,dne
SCO2_J210_AVG,dne,current,current,current,current,current,current,current
SCO2_J230_AVG,dne,current,current,current,current,current,current,current
NDVIu532_AVG,current,dne,dne,dne,dne,dne,dne,dne
NDVIu568_AVG,current,dne,dne,dne,dne,dne,dne,dne
NDVIu676_AVG,current,dne,dne,dne,dne,dne,dne,dne
NDVIu798_AVG,current,dne,dne,dne,dne,dne,dne,dne
