af_mapping,qc_mapping,desc,current,cr23x_PJ_girdle_2009_01_01_0030_compilation,cr23x_PJ_girdle_2012_01_01_0030_compilation,cr23x_PJ_girdle_2013_01_01_0030_compilation,cr23x_PJ_girdle_2014_01_01_0030,cr23x_PJ_girdle_2014_03_26_1130,cr23x_PJ_girdle_2014_08_28_1130
NaN,,NaN,hfp_cal_6,current,current,current,current,LaLP2_30,LaLP2_30
NaN,,NaN,hfp_cal_7,current,current,current,current,LaLP3_5,LaLP3_5
NaN,,NaN,hfp_cal_8,current,current,current,current,LaLP3_10,LaLP3_10
NaN,,NaN,hfp_cal_9,current,current,current,current,LaLP3_30,LaLP3_30
NaN,,NaN,sap_P1a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P1b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P2a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P2b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P3a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P3b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P4a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P4b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P5a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_P5b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J1a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J1b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J2a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J2b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J3a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J3b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J4a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J4b_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J5a_AVG,current,current,current,current,current,current
NaN,,NaN,sap_J5b_AVG,current,current,current,current,current,current
NaN,,NaN,SCO2_P15_AVG,current,current,current,current,current,current
NaN,,NaN,SCO2_P110_AVG,current,current,current,current,current,current
NaN,,NaN,SCO2_P120_AVG,current,current,current,current,SCO2_P130_AVG,SCO2_P130_AVG
NaN,,NaN,SCO2_P140_AVG,current,current,current,current,dne,dne
NaN,,NaN,SCO2_P25_AVG,current,current,current,current,current,current
NaN,,NaN,SCO2_P210_AVG,current,current,current,current,current,current
NaN,,NaN,SCO2_P220_AVG,current,current,current,current,SCO2_P230_AVG,SCO2_P230_AVG
NaN,,NaN,SCO2_P240_AVG,current,current,current,current,dne,dne
NaN,,NaN,sap_sp1a_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp1b_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp2a_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp2b_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp3a_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp3b_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp4a_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp4b_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp5a_AVG,dne,current,current,current,current,current
NaN,,NaN,sap_sp5b_AVG,dne,current,current,current,current,current
NaN,,NaN,ref_temp_AVG,dne,current,current,current,current,current
NaN,,NaN,T_P1_5_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P1_10_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P1_30_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P2_5_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P2_10_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P2_30_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P3_5_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P3_10_STD,dne,dne,dne,current,current,dne
NaN,,NaN,T_P3_30_STD,dne,dne,dne,current,current,dne
NaN,,NaN,shf_P1_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_P2_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_P3_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_J1_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_J2_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_J3_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_O1_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_O2_STD,dne,current,current,current,current,dne
NaN,,NaN,shf_O3_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_P1_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_P2_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_P3_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_J1_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_J2_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_J3_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_O1_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_O2_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_O3_STD,dne,current,current,current,current,dne
NaN,,NaN,ref_temp_STD,dne,current,current,current,current,dne
NaN,,NaN,shfmV_P1_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_P2_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_P3_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_J1_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_J2_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_J3_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_O1_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_O2_AVG,dne,current,current,current,current,current
NaN,,NaN,shfmV_O3_AVG,dne,current,current,current,current,current
NaN,,NaN,SCO2_J15_AVG,dne,dne,current,current,current,current
NaN,,NaN,SCO2_J120_AVG,dne,dne,current,current,SCO2_J110_AVG,SCO2_J110_AVG
NaN,,NaN,SCO2_J150_AVG,dne,dne,current,current,SCO2_J130_AVG,SCO2_J130_AVG
NaN,,NaN,SCO2_J25_AVG,dne,dne,current,current,current,current
NaN,,NaN,SCO2_J220_AVG,dne,dne,current,current,SCO2_J210_AVG,SCO2_J210_AVG
NaN,,NaN,SCO2_J250_AVG,dne,dne,current,current,SCO2_J230_AVG,SCO2_J230_AVG
