current,previous1,previous2,previous3,previous4,previous5
AirTC_Avg,t_hmp_mean,,,,
RH_Avg,rh_hmp,,,,
co2_mean_Avg,co2_mean,,,,
co2_um_m_Avg,co2_u_mol_Avg,,,,
stdev_co2,cov_co2_co2,,,,
stdev_h2o,cov_h2o_h2o,,,,
stdev_Ts,cov_Ts_Ts,,,,
cov_co2_Ux,cov_Ux_co2,,,,
cov_h2o_Ux,cov_Ux_h2o,,,,
cov_Ts_Ux,cov_Ux_Ts,,,,
stdev_Ux,cov_Ux_Ux,,,,
cov_Ux_Uy,cov_Uy_Ux,,,,
cov_co2_Uy,cov_Uy_co2,,,,
cov_h2o_Uy,cov_Uy_h2o,,,,
cov_Ts_Uy,cov_Uy_Ts,,,,
stdev_Uy,cov_Uy_Uy,,,,
cov_co2_Uz,cov_Uz_co2,,,,
cov_h2o_Uz,cov_Uz_h2o,,,,
cov_Ts_Uz,cov_Uz_Ts,,,,
cov_Ux_Uz,cov_Uz_Ux,,,,
cov_Uy_Uz,cov_Uz_Uy,,,,
stdev_Uz,cov_Uz_Uz,,,,
e_hmp_mean_Avg,e_Avg,,,,
h2o_mean_Avg,h2o_Avg,,,,
h2o_hmp_mean_Avg,h2o_hmp_mean,,,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,,,
soil_water_T_20,soil_water_T_7_2,,,,
soil_water_T_21,soil_water_T_7_3,,,,
soil_water_T_22,soil_water_T_8_1,,,,
soil_water_T_1,soil_water_T_1_1,,,,
soil_water_T_2,soil_water_T_1_2,,,,
soil_water_T_3,soil_water_T_1_3,,,,
soil_water_T_7,soil_water_T_3_1,,,,
soil_water_T_8,soil_water_T_3_2,,,,
soil_water_T_9,soil_water_T_3_3,,,,
soil_water_T_13,soil_water_T_5_1,,,,
soil_water_T_14,soil_water_T_5_2,,,,
soil_water_T_15,soil_water_T_5_3,,,,
soil_water_T_16,soil_water_T_6_1,,,,
soil_water_T_17,soil_water_T_6_2,,,,
soil_water_T_unlabeled,soil_water_T_23,,,,
Soil_CO2_G1_5_Avg,soil_co2_grass_1_5cm_Avg,,,,
Soil_CO2_G1_10_Avg,soil_co2_grass_1_10cm_Avg,,,,
Soil_CO2_G1_20_Avg,soil_co2_grass_1_20cm_Avg,,,,
Soil_CO2_G1_30_Avg,,,,,
Soil_CO2_G1_50_Avg,soil_co2_grass_1_50cm_Avg,,,,
Soil_CO2_G2_5_Avg,soil_co2_grass_2_5cm_Avg,,,,
Soil_CO2_G2_10_Avg,soil_co2_grass_2_10cm_Avg,,,,
