af_mapping,qc_mapping,desc,current,TOA5_New_GLand_2009_12_15_1200,TOA5_New_GLand_2010_02_24_1600,TOA5_New_GLand_2010_03_12_1630,TOA5_New_GLand_2010_03_26_1400,TOA5_New_GLand_2010_05_05_1630,TOA5_New_GLand_2010_05_28_1600,TOA5_New_GLand_2011_06_23_1530,TOA5_New_GLand_2014_01_17_1600,TOA5_New_GLand_2014_04_02_1300,TOA5_New_GLand_2014_05_08_1300
NaN,SOILT_G1_52p5_AVG,NaN,SoilT_G1_52p5_Avg,SoilT_g1_52p5_Avg,SoilT_g1_52p5_Avg,SoilT_g1_52p5_Avg,SoilT_g1_52p5_Avg,SoilT_g1_52p5_Avg,SoilT_g1_52p5_Avg,SoilT_g1_52p5_Avg,current,current,current
NaN,SOILT_G2_2p5_AVG,NaN,SoilT_G2_2p5_Avg,SoilT_g2_2p5_Avg,SoilT_g2_2p5_Avg,SoilT_g2_2p5_Avg,SoilT_g2_2p5_Avg,SoilT_g2_2p5_Avg,SoilT_g2_2p5_Avg,SoilT_g2_2p5_Avg,current,current,current
NaN,SOILT_G2_12p5_AVG,NaN,SoilT_G2_12p5_Avg,SoilT_g2_12p5_Avg,SoilT_g2_12p5_Avg,SoilT_g2_12p5_Avg,SoilT_g2_12p5_Avg,SoilT_g2_12p5_Avg,SoilT_g2_12p5_Avg,SoilT_g2_12p5_Avg,current,current,current
NaN,SOILT_G2_22p5_AVG,NaN,SoilT_G2_22p5_Avg,SoilT_g2_22p5_Avg,SoilT_g2_22p5_Avg,SoilT_g2_22p5_Avg,SoilT_g2_22p5_Avg,SoilT_g2_22p5_Avg,SoilT_g2_22p5_Avg,SoilT_g2_22p5_Avg,current,current,current
NaN,SOILT_G2_37p5_AVG,NaN,SoilT_G2_37p5_Avg,SoilT_g2_37p5_Avg,SoilT_g2_37p5_Avg,SoilT_g2_37p5_Avg,SoilT_g2_37p5_Avg,SoilT_g2_37p5_Avg,SoilT_g2_37p5_Avg,SoilT_g2_37p5_Avg,current,current,current
NaN,SOILT_G2_52p5_AVG,NaN,SoilT_G2_52p5_Avg,SoilT_g2_52p5_Avg,SoilT_g2_52p5_Avg,SoilT_g2_52p5_Avg,SoilT_g2_52p5_Avg,SoilT_g2_52p5_Avg,SoilT_g2_52p5_Avg,SoilT_g2_52p5_Avg,current,current,current
NaN,SOILT_O1_2p5_AVG,NaN,SoilT_O1_2p5_Avg,current,current,current,current,current,SoilT_o1_2p5_Avg,SoilT_o1_2p5_Avg,current,current,current
NaN,SOILT_O1_12p5_AVG,NaN,SoilT_O1_12p5_Avg,current,current,current,current,current,SoilT_o1_12p5_Avg,SoilT_o1_12p5_Avg,current,current,current
NaN,SOILT_O1_22p5_AVG,NaN,SoilT_O1_22p5_Avg,current,current,current,current,current,SoilT_o1_22p5_Avg,SoilT_o1_22p5_Avg,current,current,current
NaN,SOILT_O1_37p5_AVG,NaN,SoilT_O1_37p5_Avg,current,current,current,current,current,SoilT_o1_37p5_Avg,SoilT_o1_37p5_Avg,current,current,current
NaN,SOILT_O1_52p5_AVG,NaN,SoilT_O1_52p5_Avg,current,current,current,current,current,SoilT_o1_52p5_Avg,SoilT_o1_52p5_Avg,current,current,current
NaN,SOILT_O2_2p5_AVG,NaN,SoilT_O2_2p5_Avg,current,current,current,current,current,current,current,current,current,current
NaN,SOILT_O2_12p5_AVG,NaN,SoilT_O2_12p5_Avg,current,current,current,current,SoilT_O2_52p5_Avg,SoilT_O2_52p5_Avg,SoilT_O2_52p5_Avg,SoilT_O2_52p5_Avg,current,current
NaN,SOILT_O2_22p5_AVG,NaN,SoilT_O2_22p5_Avg,current,current,current,current,current,current,current,current,current,current
NaN,SOILT_O2_37p5_AVG,NaN,SoilT_O2_37p5_Avg,SoilT_02_37p5_Avg,SoilT_02_37p5_Avg,SoilT_02_37p5_Avg,SoilT_02_37p5_Avg,SoilT_02_37p5_Avg,SoilT_02_37p5_Avg,SoilT_02_37p5_Avg,current,current,current
NaN,SOILT_O2_52p5_AVG,NaN,SoilT_O2_52p5_Avg,current,current,current,current,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,SoilT_O2_12p5_Avg,current,current
NaN,SOILCO2_G1_5_AVG,NaN,Soil_CO2_G1_5_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g1_5cm_Avg,current,current,current
NaN,SOILCO2_G1_10_AVG,NaN,Soil_CO2_G1_10_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g1_10cm_Avg,current,current,current
NaN,SOILCO2_G1_20_AVG,NaN,Soil_CO2_G1_20_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g1_20cm_Avg,current,current,dne
NaN,SOILCO2_G1_60_AVG,NaN,Soil_CO2_G1_60_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g1_50cm_Avg,current,current,dne
NaN,SOILCO2_G2_5_AVG,NaN,Soil_CO2_G2_5_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g2_5cm_Avg,current,current,current
NaN,SOILCO2_G2_10_AVG,NaN,Soil_CO2_G2_10_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g2_10cm_Avg,current,current,current
NaN,SOILCO2_G2_20_AVG,NaN,Soil_CO2_G2_20_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g2_20cm_Avg,current,current,dne
NaN,SOILCO2_G2_60_AVG,NaN,Soil_CO2_G2_60_Avg,dne,dne,dne,dne,dne,dne,soil_co2_g2_50cm_Avg,current,current,dne
